PRECISE MISSION TIME (min),Ppx,Ppy,Ppz
3241.650291,-223406.9768,-55506.00097,-14741.76998
3242.650291,-223476.8967,-55537.96521,-14758.654
3243.650291,-223546.7905,-55569.92281,-14775.53622
3244.650291,-223616.6585,-55601.87375,-14792.41664
3245.650291,-223686.5006,-55633.81806,-14809.29526
3246.650291,-223756.3167,-55665.75572,-14826.17208
3247.650291,-223826.1071,-55697.68674,-14843.0471
3248.650291,-223895.8715,-55729.61112,-14859.92032
3249.650291,-223965.6102,-55761.52887,-14876.79173
3250.650291,-224035.323,-55793.43999,-14893.66135
3251.650291,-224105.01,-55825.34448,-14910.52916
3252.650291,-224174.6713,-55857.24234,-14927.39517
3253.650291,-224244.3068,-55889.13358,-14944.25938
3254.650291,-224313.9166,-55921.0182,-14961.12179
3255.650291,-224383.5006,-55952.8962,-14977.98239
3256.650291,-224453.059,-55984.76758,-14994.84119
3257.650291,-224522.5916,-56016.63235,-15011.69818
3258.650291,-224592.0986,-56048.49051,-15028.55337
3259.650291,-224661.5799,-56080.34206,-15045.40676
3260.650291,-224731.0356,-56112.187,-15062.25834
3261.650291,-224800.4657,-56144.02534,-15079.10812
3262.650291,-224869.8701,-56175.85708,-15095.95609
3263.650291,-224939.249,-56207.68222,-15112.80226
3264.650291,-225008.6024,-56239.50077,-15129.64662
3265.650291,-225077.9301,-56271.31272,-15146.48917
3266.650291,-225147.2324,-56303.11808,-15163.32992
3267.650291,-225216.5091,-56334.91685,-15180.16886
3268.650291,-225285.7604,-56366.70904,-15197.00599
3269.650291,-225354.9861,-56398.49464,-15213.84132
3270.650291,-225424.1864,-56430.27366,-15230.67484
3271.650291,-225493.3613,-56462.04611,-15247.50655
3272.650291,-225562.5107,-56493.81197,-15264.33645
3273.650291,-225631.6347,-56525.57127,-15281.16454
3274.650291,-225700.7334,-56557.32399,-15297.99083
3275.650291,-225769.8066,-56589.07015,-15314.8153
3276.650291,-225838.8545,-56620.80974,-15331.63797
3277.650291,-225907.8771,-56652.54276,-15348.45883
3278.650291,-225976.8743,-56684.26923,-15365.27787
3279.650291,-226045.8462,-56715.98914,-15382.09511
3280.650291,-226114.7929,-56747.70249,-15398.91053
3281.650291,-226183.7143,-56779.40929,-15415.72415
3282.650291,-226252.6104,-56811.10953,-15432.53595
3283.650291,-226321.4812,-56842.80323,-15449.34595
3284.650291,-226390.3269,-56874.49039,-15466.15413
3285.650291,-226459.1474,-56906.171,-15482.9605
3286.650291,-226527.9426,-56937.84507,-15499.76505
3287.650291,-226596.7127,-56969.5126,-15516.5678
3288.650291,-226665.4577,-57001.17359,-15533.36873
3289.650291,-226734.1775,-57032.82805,-15550.16785
3290.650291,-226802.8721,-57064.47598,-15566.96515
3291.650291,-226871.5417,-57096.11738,-15583.76064
3292.650291,-226940.1862,-57127.75226,-15600.55432
3293.650291,-227008.8057,-57159.38061,-15617.34619
3294.650291,-227077.4,-57191.00244,-15634.13624
3295.650291,-227145.9694,-57222.61775,-15650.92447
3296.650291,-227214.5137,-57254.22654,-15667.71089
3297.650291,-227283.033,-57285.82882,-15684.49549
3298.650291,-227351.5274,-57317.42459,-15701.27828
3299.650291,-227419.9967,-57349.01385,-15718.05926
3300.650291,-227488.4412,-57380.59661,-15734.83842
3301.650291,-227556.8606,-57412.17286,-15751.61576
3302.650291,-227625.2552,-57443.7426,-15768.39128
3303.650291,-227693.6249,-57475.30585,-15785.16499
3304.650291,-227761.9696,-57506.8626,-15801.93688
3305.650291,-227830.2895,-57538.41286,-15818.70696
3306.650291,-227898.5846,-57569.95663,-15835.47521
3307.650291,-227966.8548,-57601.4939,-15852.24165
3308.650291,-228035.1002,-57633.02469,-15869.00627
3309.650291,-228103.3208,-57664.54899,-15885.76908
3310.650291,-228171.5166,-57696.06682,-15902.53006
3311.650291,-228239.6877,-57727.57816,-15919.28923
3312.650291,-228307.834,-57759.08302,-15936.04657
3313.650291,-228375.9555,-57790.58141,-15952.8021
3314.650291,-228444.0523,-57822.07333,-15969.55581
3315.650291,-228512.1245,-57853.55877,-15986.3077
3316.650291,-228580.1719,-57885.03775,-16003.05777
3317.650291,-228648.1947,-57916.51026,-16019.80601
3318.650291,-228716.1928,-57947.97631,-16036.55244
3319.650291,-228784.1663,-57979.4359,-16053.29705
3320.650291,-228852.1151,-58010.88903,-16070.03984
3321.650291,-228920.0393,-58042.33571,-16086.7808
3322.650291,-228987.939,-58073.77593,-16103.51994
3323.650291,-229055.8141,-58105.2097,-16120.25727
3324.650291,-229123.6646,-58136.63702,-16136.99277
3325.650291,-229191.4906,-58168.05789,-16153.72644
3326.650291,-229259.292,-58199.47232,-16170.4583
3327.650291,-229327.0689,-58230.88031,-16187.18833
3328.650291,-229394.8214,-58262.28186,-16203.91654
3329.650291,-229462.5494,-58293.67697,-16220.64293
3330.650291,-229530.2529,-58325.06565,-16237.3675
3331.650291,-229597.9319,-58356.4479,-16254.09024
3332.650291,-229665.5866,-58387.82371,-16270.81115
3333.650291,-229733.2168,-58419.1931,-16287.53025
3334.650291,-229800.8226,-58450.55607,-16304.24752
3335.650291,-229868.404,-58481.91261,-16320.96296
3336.650291,-229935.9611,-58513.26273,-16337.67658
3337.650291,-230003.4938,-58544.60643,-16354.38838
3338.650291,-230071.0022,-58575.94372,-16371.09835
3339.650291,-230138.4863,-58607.27459,-16387.80649
3340.650291,-230205.946,-58638.59905,-16404.51281
3341.650291,-230273.3815,-58669.91711,-16421.21731
3342.650291,-230340.7927,-58701.22875,-16437.91997
3343.650291,-230408.1797,-58732.534,-16454.62081
3344.650291,-230475.5424,-58763.83284,-16471.31983
3345.650291,-230542.8809,-58795.12528,-16488.01702
3346.650291,-230610.1951,-58826.41133,-16504.71238
3347.650291,-230677.4852,-58857.69098,-16521.40592
3348.650291,-230744.7511,-58888.96423,-16538.09762
3349.650291,-230811.9929,-58920.2311,-16554.7875
3350.650291,-230879.2105,-58951.49158,-16571.47556
3351.650291,-230946.404,-58982.74568,-16588.16178
3352.650291,-231013.5733,-59013.99339,-16604.84618
3353.650291,-231080.7186,-59045.23472,-16621.52875
3354.650291,-231147.8398,-59076.46968,-16638.20949
3355.650291,-231214.9369,-59107.69825,-16654.8884
3356.650291,-231282.0099,-59138.92046,-16671.56548
3357.650291,-231349.059,-59170.13629,-16688.24073
3358.650291,-231416.084,-59201.34575,-16704.91416
3359.650291,-231483.085,-59232.54885,-16721.58575
3360.650291,-231550.062,-59263.74558,-16738.25552
3361.650291,-231617.015,-59294.93595,-16754.92345
3362.650291,-231683.9441,-59326.11995,-16771.58956
3363.650291,-231750.8492,-59357.29761,-16788.25383
3364.650291,-231817.7304,-59388.4689,-16804.91628
3365.650291,-231884.5877,-59419.63384,-16821.57689
3366.650291,-231951.4211,-59450.79243,-16838.23567
3367.650291,-232018.2306,-59481.94468,-16854.89262
3368.650291,-232085.0162,-59513.09057,-16871.54774
3369.650291,-232151.778,-59544.23013,-16888.20103
3370.650291,-232218.516,-59575.36334,-16904.85249
3371.650291,-232285.2301,-59606.49021,-16921.50211
3372.650291,-232351.9204,-59637.61074,-16938.14991
3373.650291,-232418.587,-59668.72494,-16954.79587
3374.650291,-232485.2297,-59699.83281,-16971.43999
3375.650291,-232551.8487,-59730.93435,-16988.08229
3376.650291,-232618.444,-59762.02955,-17004.72275
3377.650291,-232685.0155,-59793.11844,-17021.36138
3378.650291,-232751.5633,-59824.20099,-17037.99818
3379.650291,-232818.0874,-59855.27723,-17054.63314
3380.650291,-232884.5878,-59886.34715,-17071.26627
3381.650291,-232951.0646,-59917.41075,-17087.89757
3382.650291,-233017.5177,-59948.46804,-17104.52703
3383.650291,-233083.9471,-59979.51901,-17121.15466
3384.650291,-233150.353,-60010.56367,-17137.78045
3385.650291,-233216.7352,-60041.60203,-17154.40441
3386.650291,-233283.0938,-60072.63408,-17171.02653
3387.650291,-233349.4289,-60103.65983,-17187.64682
3388.650291,-233415.7403,-60134.67927,-17204.26528
3389.650291,-233482.0283,-60165.69242,-17220.8819
3390.650291,-233548.2927,-60196.69927,-17237.49668
3391.650291,-233614.5335,-60227.69983,-17254.10963
3392.650291,-233680.7509,-60258.69409,-17270.72074
3393.650291,-233746.9448,-60289.68206,-17287.33002
3394.650291,-233813.1152,-60320.66375,-17303.93746
