MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH]
606.1301868,-68053.21994,-21516.98842,-8216.763243
606.1636045,-68053.96456,-21518.7387,-8218.12042
606.1970221,-68054.70888,-21520.4889,-8219.477561
606.2304398,-68055.45291,-21522.239,-8220.834667
606.2638575,-68056.19665,-21523.98901,-8222.191738
606.2972752,-68056.9401,-21525.73893,-8223.548773
606.3306929,-68057.68325,-21527.48875,-8224.905772
606.3641106,-68058.4261,-21529.23849,-8226.262737
606.3975283,-68059.16866,-21530.98812,-8227.619665
606.430946,-68059.91093,-21532.73767,-8228.976559
606.4643637,-68060.6529,-21534.48712,-8230.333417
606.4977814,-68061.39458,-21536.23648,-8231.690239
606.5311991,-68062.13597,-21537.98575,-8233.047026
606.5646168,-68062.87706,-21539.73492,-8234.403778
606.5980345,-68063.61786,-21541.484,-8235.760494
606.6314522,-68064.35836,-21543.23299,-8237.117174
606.6648699,-68065.09857,-21544.98189,-8238.47382
606.6982876,-68065.83849,-21546.73069,-8239.830429
606.7317053,-68066.57811,-21548.4794,-8241.187003
606.765123,-68067.31743,-21550.22802,-8242.543542
606.7985407,-68068.05647,-21551.97654,-8243.900045
606.8319584,-68068.79521,-21553.72497,-8245.256513
606.8653761,-68069.53365,-21555.47331,-8246.612945
606.8987938,-68070.27181,-21557.22155,-8247.969342
606.9322115,-68071.00967,-21558.9697,-8249.325703
606.9656292,-68071.74723,-21560.71776,-8250.682029
606.9990469,-68072.4845,-21562.46573,-8252.038319
607.0324646,-68073.22148,-21564.2136,-8253.394574
607.0658823,-68073.95816,-21565.96138,-8254.750793
607.0993,-68074.69455,-21567.70907,-8256.106977
607.1327177,-68075.43065,-21569.45666,-8257.463125
607.1661354,-68076.16645,-21571.20416,-8258.819238
607.1995531,-68076.90196,-21572.95157,-8260.175315
607.2329708,-68077.63717,-21574.69889,-8261.531357
607.2663884,-68078.37209,-21576.44611,-8262.887363
607.2998061,-68079.10672,-21578.19324,-8264.243333
607.3332238,-68079.84105,-21579.94028,-8265.599268
607.3666415,-68080.57509,-21581.68722,-8266.955168
607.4000592,-68081.30884,-21583.43407,-8268.311031
607.4334769,-68082.04229,-21585.18083,-8269.66686
607.4668946,-68082.77545,-21586.92749,-8271.022652
607.5003123,-68083.50832,-21588.67406,-8272.37841
607.53373,-68084.24089,-21590.42054,-8273.734131
607.5671477,-68084.97317,-21592.16693,-8275.089817
607.6005654,-68085.70515,-21593.91322,-8276.445468
607.6339831,-68086.43685,-21595.65942,-8277.801082
607.6674008,-68087.16824,-21597.40552,-8279.156662
607.7008185,-68087.89935,-21599.15154,-8280.512205
607.7342362,-68088.63016,-21600.89746,-8281.867713
607.7676539,-68089.36068,-21602.64329,-8283.223186
607.8010716,-68090.0909,-21604.38902,-8284.578622
607.8344893,-68090.82083,-21606.13466,-8285.934024
607.867907,-68091.55047,-21607.88021,-8287.289389
607.9013247,-68092.27981,-21609.62567,-8288.644719
607.9347424,-68093.00886,-21611.37103,-8290.000014
607.9681601,-68093.73762,-21613.1163,-8291.355272
608.0015778,-68094.46608,-21614.86147,-8292.710495
608.0349955,-68095.19425,-21616.60656,-8294.065683
608.0684132,-68095.92213,-21618.35155,-8295.420835
608.1018309,-68096.64971,-21620.09645,-8296.775951
608.1352486,-68097.377,-21621.84125,-8298.131031
608.1686663,-68098.104,-21623.58596,-8299.486076
608.202084,-68098.8307,-21625.33058,-8300.841085
608.2355017,-68099.55711,-21627.0751,-8302.196059
608.2689194,-68100.28323,-21628.81954,-8303.550997
608.3023371,-68101.00905,-21630.56388,-8304.905899
608.3357548,-68101.73458,-21632.30812,-8306.260765
608.3691724,-68102.45982,-21634.05227,-8307.615596
608.4025901,-68103.18476,-21635.79633,-8308.970391
608.4360078,-68103.90942,-21637.5403,-8310.325151
608.4694255,-68104.63377,-21639.28418,-8311.679874
608.5028432,-68105.35784,-21641.02796,-8313.034562
608.5362609,-68106.08161,-21642.77164,-8314.389215
608.5696786,-68106.80509,-21644.51524,-8315.743831
608.6030963,-68107.52827,-21646.25874,-8317.098412
608.636514,-68108.25116,-21648.00215,-8318.452957
608.6699317,-68108.97376,-21649.74546,-8319.807467
608.7033494,-68109.69607,-21651.48869,-8321.16194
608.7367671,-68110.41808,-21653.23181,-8322.516378
608.7701848,-68111.1398,-21654.97485,-8323.870781
608.8036025,-68111.86123,-21656.71779,-8325.225147
608.8370202,-68112.58236,-21658.46064,-8326.579478
608.8704379,-68113.3032,-21660.2034,-8327.933773
608.9038556,-68114.02375,-21661.94606,-8329.288032
608.9372733,-68114.744,-21663.68864,-8330.642256
608.970691,-68115.46396,-21665.43111,-8331.996443
609.0041087,-68116.18363,-21667.1735,-8333.350595
